,sentence,subject_entity,object_entity,label
0,"러시아어를 사용하는 우크라이나의 동부 지역 지도자들은 야누코비치에게 충성을 맹세했고, 이는 2014년 우크라이나 친러시아 분쟁으로 이어졌다.","{'word':'우크라이나 친러시아 분쟁','start_idx':57,'end_idx':69,'type':'EVE'}","{'word':'2014년','start_idx':51,'end_idx':55,'type':'DAT'}",eve:date
1,"2021년 7월, 러시아의 대통령 블라디미르 푸틴은 러시아와 우크라이나인이 ""한 민족""이라는 자신의 견해를 재확인한 ""러시아인과 우크라이나인의 역사적 통일성에 대해""라는 제목의 에세이를 출간했다.","{'word':'블라디미르 푸틴','start_idx':19,'end_idx':26,'type':'PER'}","{'word':'대통령','start_idx':15,'end_idx':17,'type':'POH'}",per:title
2,이들은 반군이 사용하는 대공포를 공격했다.,"{'word':'반군','start_idx':4,'end_idx':5,'type':'ORG'}","{'word':'대공포','start_idx':13,'end_idx':15,'type':'POH'}",org:property
3,2014년 우크라이나 친러시아 분쟁()은 2014년 우크라이나 혁명으로 수립된 친서방 정권에 반대하는 친러파들의 동부와 남부 우크라이나에서 일어나고 있는 시위이다.,"{'word':'우크라이나 친러시아 분쟁','start_idx':6,'end_idx':18,'type':'EVE'}","{'word':'2014년','start_idx':0,'end_idx':4,'type':'DAT'}",eve:date
4,친러시아 지도자 이고리 베즐레르는 그기 포로로 잡은 친정부 민병대를 모두 처형했다.,"{'word':'친정부 민병대','start_idx':29,'end_idx':35,'type':'ORG'}","{'word':'이고리 베즐레르','start_idx':9,'end_idx':16,'type':'PER'}",no_relation
5,이후 2014년 9월 5일에는 민스크 협정을 통해 휴전하였다.,"{'word':'민스크 협정','start_idx':17,'end_idx':22,'type':'EVE'}","{'word':'2014년 9월 5일','start_idx':3,'end_idx':13,'type':'DAT'}",no_relation
6,러시아는 2021년 3월에서 4월까지 우크라이나 국경 인근에 약 10만명 가량의 군 병력과 군 장비를 집결시켜 2014년 크림반도 병합 이후 최대 규모의 병력 동원을 기록했다.,"{'word':'러시아','start_idx':0,'end_idx':2,'type':'ORG'}","{'word':'군 병력','start_idx':45,'end_idx':48,'type':'ORG'}",org:property
7,"이들은 특별한 입법 회기가 열리지 않는 경우 지역 관리 없이도 국민 투표를 열 수 있으며, 이들은 ""시민의 주지사""가 지방 정부를 통치하고 선출되었던 모든 지역 국회위원과 시의원은 무효라고 주장했다.","{'word':'지역 국회위원','start_idx':87,'end_idx':93,'type':'PER'}","{'word':'시민의 주지사','start_idx':56,'end_idx':62,'type':'POH'}",no_relation
8,"소련에서 독립한 러시아, 우크라이나, 벨라루스, 우즈베키스탄, 카자흐스탄, 조지아, 아제르바이잔, 몰도바, 키르기스스탄, 타지키스탄, 아르메니아, 투르크메니스탄은 프랑스 알베르빌에서 개최된 1992년 동계 올림픽, 스페인 바르셀로나에서 개최된 1992년 하계 올림픽에서 올림픽 연합 선수단을 결성하여 참가했다.","{'word':'1992년 동계 올림픽','start_idx':106,'end_idx':117,'type':'EVE'}","{'word':'프랑스 알베르빌','start_idx':91,'end_idx':98,'type':'LOC'}",eve:place
9,또한 스웨덴에서 개최된 UEFA 유로 1992에서는 독립국가연합 축구 국가대표팀으로 참가했다.,"{'word':'축구 국가대표팀','start_idx':36,'end_idx':43,'type':'ORG'}","{'word':'독립국가연합','start_idx':29,'end_idx':34,'type':'ORG'}",org:member_of
10,"정부군은 친러시아군에게 경고탄을 발사했으며, 분리주의자 100여명을 체포했다고 말했다.","{'word':'정부군','start_idx':0,'end_idx':2,'type':'ORG'}","{'word':'친러시아군','start_idx':5,'end_idx':9,'type':'ORG'}",org:hostile
11,"지도자는 ""인민의 주지사""라고 불린 파벨 구바레프였는데, 그는 3월 6일 이후 우크라이나 과도정부에 의해 구금 상태에 있었으나, 5월 초 교환 형식으로 석방되었다.","{'word':'파벨 구바레프','start_idx':20,'end_idx':26,'type':'PER'}","{'word':'지도자','start_idx':0,'end_idx':2,'type':'POH'}",per:title
12,"나중에 투르치노프 대통령은 성명을 발표하면서 슬로비얀스크에서 벌어지는 인질 위기 등으로 인해 ""대테러 작전""이 재개될 것이라고 말했다.","{'word':'투르치노프','start_idx':4,'end_idx':8,'type':'PER'}","{'word':'대통령','start_idx':10,'end_idx':12,'type':'POH'}",per:title
13,"이렇게 우크라이나 동부의 불안 사태가 확대되자, 우크라이나의 대통령 올렉산드르 투르치노프는 도네츠크 주의 분리주의 운동에 대한 ""대테러 작전""을 시작한다고 발표했다.","{'word':'올렉산드르 투르치노프','start_idx':38,'end_idx':48,'type':'PER'}","{'word':'대통령','start_idx':34,'end_idx':36,'type':'POH'}",per:title
14,정부군과 친러시아 군 사이 치열한 고지전으로 행정 건물은 불에 탔다.,"{'word':'친러시아 군','start_idx':5,'end_idx':10,'type':'ORG'}","{'word':'정부군','start_idx':0,'end_idx':2,'type':'ORG'}",org:hostile
15,영국의 저널리스트 에드워드 루카스는 이에 대해 수정주의자라고 서술했다.,"{'word':'에드워드 루카스','start_idx':10,'end_idx':17,'type':'PER'}","{'word':'저널리스트','start_idx':4,'end_idx':8,'type':'POH'}",per:title
16,"경찰이 점령된 건물에 공격하는 동안, 정부군이 공세를 펼쳐 반정부군이 도주했다.","{'word':'정부군','start_idx':21,'end_idx':23,'type':'ORG'}","{'word':'반정부군','start_idx':33,'end_idx':36,'type':'ORG'}",org:hostile
17,러시아는 벨라루스 서남부 브레스트주의 바란노비치 공군기지에 수호이 전투기 최신 개량형인 Su-27SM3 4대로 구성된 비행중대를 파견한 바 있다.,"{'word':'러시아','start_idx':0,'end_idx':2,'type':'ORG'}","{'word':'비행중대','start_idx':66,'end_idx':69,'type':'ORG'}",org:property
18,10만 명은 영국 국제전략연구소(IISS)의 연감 밀리터리 밸런스 2018년판을 기준으로 하면 러시아군 병력의 10%에 해당한다.,"{'word':'국제전략연구소','start_idx':10,'end_idx':16,'type':'ORG'}","{'word':'IISS','start_idx':18,'end_idx':21,'type':'ORG'}",org:alternate_names
19,돈바스 인민군(현 노보로시야 연방 육군)의 구성원인 전투가들은 나중에 경찰서를 점령했다.,"{'word':'노보로시야 연방 육군','start_idx':10,'end_idx':20,'type':'PER'}","{'word':'IISS','start_idx':18,'end_idx':21,'type':'ORG'}",no_relation
20,"4월 12일, 친러시아 무장 세력이 도네츠크의 우크라이나 내무부 청사를 포위하고 점령했다.","{'word':'친러시아 무장 세력','start_idx':8,'end_idx':17,'type':'ORG'}","{'word':'우크라이나 내무부','start_idx':26,'end_idx':34,'type':'ORG'}",org:hostile
