,sentence,subject_entity,object_entity,label
0,"우크라이나 정부에서는 도네츠크 인민공화국과 루간스크 인민공화국을 테러 조직으로 분류하며, 이들이 장악하고 있는 지역을 크림 자치 공화국·세바스토폴과 함께 러시아에 점령된 지역으로 분류한다. 2022년 2월 21일에는 러시아가 루간스크 인민공화국을 주권 국가로 승인했다.","{'word':'우크라이나','start_idx':0,'end_idx':4,'type':'ORG'}","{'word':'도네츠크 인민공화국','start_idx':12,'end_idx':21,'type':'ORG'}",org:hostile
1,우크라이나는 유럽 최대 우라늄 매장량을 자랑하며 17개의 원자로를 가동하고 있다.,"{'word':'우크라이나','start_idx':0,'end_idx':4,'type':'ORG'}","{'word':'원자로','start_idx':32,'end_idx':34,'type':'POH'}",org:property
2,"NATO는 1990년대에 들어서 딜레마에 봉착하기도 했는데, 1991년에는 나토 회원국에 대해 즉각적으로 어떠한 군사적 위협도 없을 정도로 상황이 개선되어, 미래의 나토 역할에 대한 의문이 제기되었다.","{'word':'NATO','start_idx':0,'end_idx':3,'type':'ORG'}","{'word':'나토','start_idx':92,'end_idx':93,'type':'ORG'}",org:alternate_names
3,2007년 9월 12일 푸틴 러시아 대통령은 미하일 프랏코프 러시아 정부주석의 요구에 러시아 연방 정부를 해산하였다.,"{'word':'미하일 프랏코프','start_idx':25,'end_idx':32,'type':'PER'}","{'word':'정부주석','start_idx':38,'end_idx':41,'type':'POH'}",per:title
4,1997년 3월 26일에는 보리스 옐친 러시아 연방 대통령으로부터 러시아 연방 대통령 행정실 제1차장으로 임명되었고 1998년 5월까지 해당 직위를 유지했다.,"{'word':'보리스 옐친','start_idx':15,'end_idx':20,'type':'PER'}","{'word':'대통령','start_idx':29,'end_idx':31,'type':'POH'}",per:title
5,"이 협정은 우크라이나, 러시아, OSCE의 대표 3명으로 구성된 우크라이나 삼자 연락 그룹이 계획했다.","{'word':'우크라이나','start_idx':6,'end_idx':10,'type':'ORG'}","{'word':'OSCE','start_idx':18,'end_idx':21,'type':'ORG'}",no_relation
6,"프랏코프 러시아 정부주석은 그것이 러시아 연방 국가두마 총선거에 전단계에서 푸틴 대통령에게 ""행동의 자유""를 주는 것이라고 소감을 남겼다.","{'word':'프랏코프','start_idx':0,'end_idx':3,'type':'PER'}","{'word':'정부주석','start_idx':9,'end_idx':12,'type':'POH'}",per:title
7,2004년 7월에는 그의 첫째 딸인 올렉산드라가 태어났고 2013년 1월에는 그의 둘째 아들인 키릴 젤렌스키가 태어났다.,"{'word':'키릴 젤렌스키','start_idx':53,'end_idx':59,'type':'PER'}","{'word':'올렉산드라','start_idx':20,'end_idx':24,'type':'PER'}",no_relation
8,키예프 루스는 이후 수많은 도시국가들로 분화하였고 몽골에 의해 국가와 연합체 자체가 사라져 농노화되었다.,"{'word':'몽골','start_idx':28,'end_idx':29,'type':'ORG'}","{'word':'키예프 루스','start_idx':0,'end_idx':5,'type':'ORG'}",org:hostile
9,"미사일도 (관리는) 전부 모스크바서 했다""고 지적했다.","{'word':'모스크바','start_idx':14,'end_idx':17,'type':'ORG'}","{'word':'미사일','start_idx':0,'end_idx':2,'type':'POH'}",no_relation
10,"이것은 교양 있는 이혼이다.""라고 말했다.","{'word':'이혼','start_idx':10,'end_idx':11,'type':'EVE'}","{'word':'교양','start_idx':4,'end_idx':5,'type':'POH'}",no_relation
11,"SHAPE는 북대서양 최고사령부라고도 칭하는데, 각료이사회의 결정에 의해 1951년 4월 발족하였다.","{'word':'SHAPE','start_idx':0,'end_idx':4,'type':'ORG'}","{'word':'북대서양 최고사령부','start_idx':7,'end_idx':16,'type':'ORG'}",org:alternate_names
