,sentence,subject_entity,object_entity,label
0,8월 15일에는 전 정치범 틸 마디슨을 총수로 한 MRP-AEG 단체(몰로토프-리펜드로프 조약 공개를 위한 에스토니아인 모임)을 창설했다.,"{'word':'틸 마디슨','start_idx':15,'end_idx':19,'type':'PER'}","{'word':'총수','start_idx':22,'end_idx':23,'type':'POH'}",per:title
1,BPF 당(벨라루스 인민 전선)은 1988년 5월 발트해 공화국의 인민 전선을 본따 민주주의와 독립을 위한 정당 및 문화운동전선으로 창설되었다.,"{'word':'벨라루스 인민 전선','start_idx':6,'end_idx':15,'type':'ORG'}","{'word':'BPF 당','start_idx':0,'end_idx':4,'type':'ORG'}",org:alternate_names
2,"고르바초프는 향후 공산당 선거는 비밀투표를 통해 다수의 후보들 중 한명을 뽑아 선출하는 형태가 되어야 한다고 주장했다. 하지만 CPSU 총회 대표안에선 고르바초프의 제안이 받아들여지지 않았으며, 공산당 내에서 민주주의 이행에 대해선 큰 신경을 쓰지 않았다.","{'word':'고르바초프','start_idx':0,'end_idx':4,'type':'PER'}","{'word':'공산당','start_idx':10,'end_idx':12,'type':'ORG'}",no_relation
3,아르메니아: 나고르노카라바흐의 환경 문제.,"{'word':'아르메니아','start_idx':0,'end_idx':4,'type':'ORG'}","{'word':'나고르노카라바흐','start_idx':7,'end_idx':14,'type':'ORG'}",no_relation
4,이 때 처음으로 공산당 지도자가 중앙위원회 국원들에게 더 많은 자유를 바라는 민중의 지지를 말하며 호소했다.,"{'word':'중앙위원회','start_idx':18,'end_idx':22,'type':'ORG'}","{'word':'공산당','start_idx':9,'end_idx':11,'type':'ORG'}",no_relation
5,경찰은 시위대를 분산시키러 수 차례 노력했으며 몇차례 충돌 후 시위는 해산되었다. 하지만 나고르노카라바흐 지역은 다음 해부턴 폭력적 충돌로 사건이 커졌다.,"{'word':'나고르노카라바흐','start_idx':50,'end_idx':57,'type':'ORG'}","{'word':'경찰','start_idx':0,'end_idx':1,'type':'ORG'}",no_relation
6,"위원 중 한명이자 학자였던 레본 테르페트로샨은 석방 직후 반공주의 야당인 범아르메니아 국가 운동의 위원장에 취임하였으며, 후에 그는 1989년부터 아르메니아의 완전한 독립에 대해 생각하게 되었다고 밝혔다.","{'word':'레본 테르페트로샨','start_idx':15,'end_idx':23,'type':'PER'}","{'word':'위원장','start_idx':55,'end_idx':57,'type':'POH'}",per:title
7,"1989년 7월 16일엔 압하지야의 수도 수후미에서 한 마을에 조지아 대학교 캠퍼스를 세운다는 것에 반발, 폭력사태가 일어났다.","{'word':'수후미','start_idx':23,'end_idx':25,'type':'ORG'}","{'word':'압하지야','start_idx':14,'end_idx':17,'type':'ORG'}",org:member_of
8,"1986년 12월 26일, 록 콘서트가 끝난 이른 아침 라트비아 노동자 300명이 리가 대성당 광장에 모여 레닌 에비뉴를 향해 행진하며 ""볼셰비키와 소비에트 러시아는 물러나라!","{'word':'라트비아','start_idx':31,'end_idx':34,'type':'ORG'}","{'word':'1986년 12월 26일','start_idx':0,'end_idx':12,'type':'DAT'}",no_relation
9,5월 7일엔 라트비아 각료회의의장(총리)에 라트비아 인민 전선의 지도자인 이바르스 고드마니스가 당선되며 소련 정부에게 독립 협상을 제의했다.,"{'word':'이바르스 고드마니스','start_idx':41,'end_idx':50,'type':'PER'}","{'word':'각료회의의장','start_idx':12,'end_idx':17,'type':'POH'}",per:title
10,"의석 대부분은 CPSU가 선출한 후보자가 당선되었으나, 300석 가까이는 보리스 옐친, 물리학자 안드레이 사하로프, 변호사 아나톨리 솝차크와 같은 무소속 후보가 당선되었다.","{'word':'변호사','start_idx':65,'end_idx':67,'type':'PER'}","{'word':'아나톨리 솝차크','start_idx':69,'end_idx':76,'type':'POH'}",per:title
11,"1987년 2월 16일, 1950년대 흐루쇼프 해빙기 이후 처음으로 정치범 수십명이 사면되었다.","{'word':'흐루쇼프 해빙기','start_idx':21,'end_idx':28,'type':'EVE'}","{'word':'1987년 2월 16일','start_idx':0,'end_idx':11,'type':'DAT'}",no_relation
12,"다음 해엔 리투아니아 공산당이 처음으로 열린 다당제 총선에서 완전히 패배하여 권력을 잃고, 소련 내 공화국 중 최초로 비공산계 대통령인 비타우타스 란즈베르기스가 당선된다.","{'word':'비타우타스 란즈베르기스','start_idx':76,'end_idx':87,'type':'PER'}","{'word':'대통령','start_idx':71,'end_idx':73,'type':'POH'}",per:title
13,이 사건은 중앙유럽과 소련 국민이 고르바초프의 공산주의 현대화 추진을 지지하지 않는다는 것을 의미했다.,"{'word':'고르바초프','start_idx':19,'end_idx':23,'type':'PER'}","{'word':'소련','start_idx':12,'end_idx':13,'type':'ORG'}",no_relation
14,5월 4일은 라트비아 독립기념일이 되었다.,"{'word':'라트비아 독립기념일','start_idx':7,'end_idx':16,'type':'EVE'}","{'word':'5월 4일','start_idx':0,'end_idx':4,'type':'DAT'}",eve:date
15,"이를 시작으로 1989년 말까지 바르샤바 조약 기구 가입국 5개국의 공산당 정권이 붕괴되었으며, 베를린 장벽도 붕괴되었다.","{'word':'공산당','start_idx':38,'end_idx':40,'type':'ORG'}","{'word':'베를린 장벽','start_idx':54,'end_idx':59,'type':'LOC'}",no_relation
16,"공개된 이 제안은 국가적인 각성의 요구, 언론의 자유, 몰도바 전통의 부활, 루마니아어의 공식 언어 부활과 옛 라틴어로의 철자 회귀 등이 있었다.","{'word':'루마니아','start_idx':43,'end_idx':46,'type':'ORG'}","{'word':'몰도바','start_idx':31,'end_idx':33,'type':'ORG'}",no_relation
17,이 사건은 소련군이 소련 자국 내의 도시 중 하나를 강제로 점령한 최초의 군사 행동이었다.,"{'word':'소련','start_idx':11,'end_idx':12,'type':'ORG'}","{'word':'소련군','start_idx':6,'end_idx':8,'type':'ORG'}",org:property
18,보안군과 시위대 사이 충돌이 일어났고 경찰차 수 대가 뒤집혔다.,"{'word':'시위대','start_idx':5,'end_idx':7,'type':'ORG'}","{'word':'보안군','start_idx':0,'end_idx':2,'type':'ORG'}",org:hostile
19,우크라이나에 배정된 의석 225석 대부분은 보수파가 차지했으나 일부 소수 의석은 진보파가 차지하였다.,"{'word':'보수파','start_idx':24,'end_idx':26,'type':'ORG'}","{'word':'진보파','start_idx':45,'end_idx':47,'type':'ORG'}",no_relation
20,러시아 공화국과 소련 정부의 분쟁.,"{'word':'소련 정부','start_idx':9,'end_idx':13,'type':'ORG'}","{'word':'러시아 공화국','start_idx':0,'end_idx':6,'type':'ORG'}",org:hostile
21,"1987년 9월 10일, 모스크바에 강경파 정치국원 예고르 리가쇼프가 금지되었던 시위 2개를 허용시키는 내용에 대해 강력하게 반발하는 발언을 한 후, 보리스 옐친은 흑해에서 휴가를 보내던 고르바초프에게 사임 서한을 보냈다.","{'word':'예고르 리가쇼프','start_idx':29,'end_idx':36,'type':'PER'}","{'word':'정치국원','start_idx':24,'end_idx':27,'type':'POH'}",per:title
22,발트 국가: 강제 병합 항의 시위.,"{'word':'강제 병합 항의 시위','start_idx':7,'end_idx':17,'type':'EVE'}","{'word':'발트 국가','start_idx':0,'end_idx':4,'type':'ORG'}",no_relation
23,"공식적으로는 사보이 호텔에 숙박한 외국인 손님에게만 CNN 채널을 볼 수 있었으나, 얼마 되지 않아 여러 기술적 방법으로 모스크바 시민들이 자체적으로 가정용 TV에서 CNN 채널을 수신하게 되었다.","{'word':'사보이 호텔','start_idx':7,'end_idx':12,'type':'ORG'}","{'word':'모스크바','start_idx':68,'end_idx':71,'type':'ORG'}",org:member_of
24,티시나 교도소에 재판 없이 투옥되었던 카라바흐 위원회 위원 11명이 석방되었다.,"{'word':'티시나 교도소','start_idx':0,'end_idx':6,'type':'ORG'}","{'word':'카라바흐 위원회','start_idx':21,'end_idx':28,'type':'ORG'}",no_relation
25,"역사학자이자 벨라루스 인민 전선의 초대 지도자인 자논 파즈냐크가 처음으로 민스크 외곽 쿠라파티에서 대량학살 매장지를 발견한 후, 벨라루스는 급속도로 친민주주의와 친독립 성향을 띠게 되었다.","{'word':'자논 파즈냐크','start_idx':27,'end_idx':33,'type':'PER'}","{'word':'역사학자','start_idx':0,'end_idx':3,'type':'POH'}",per:title
26,1989년 3월 인민대표회의 선거에서 리투아니아 대표로 당선된 의석 42석 중 36명은 사유디스 독립파 후보자였다.,"{'word':'인민대표회의 선거','start_idx':9,'end_idx':17,'type':'EVE'}","{'word':'1989년 3월','start_idx':0,'end_idx':7,'type':'DAT'}",eve:date
27,"이 대규모 시위로 8월 27일엔 베사라비아의 강제 합병 인정, 몰도바어의 공식언어 인정 등을 요구하며 30만명이 참여했다.","{'word':'시위','start_idx':6,'end_idx':7,'type':'EVE'}","{'word':'8월 27일','start_idx':10,'end_idx':15,'type':'DAT'}",eve:date
28,"9월 25일엔 아제르바이잔 법에 우위권을 준다는 주권법을 통과시켰으며, 10월 4일엔 봉쇄 조치를 해제하는 조건으로 인민 전선이 합법적 단체로 인정받게 되었다. 하지만 아제르바이잔-아르메니아 사이 교통 봉쇄는 완전하게 풀리지 않았다.","{'word':'아르메니아','start_idx':101,'end_idx':105,'type':'ORG'}","{'word':'아제르바이잔','start_idx':94,'end_idx':99,'type':'ORG'}",no_relation
29,"3월 26일엔 소련 전국대표대회 선거가 열렸으며 4월 9일, 5월 14일, 5월 21일에 재보궐선거가 열렸다.","{'word':'선거','start_idx':18,'end_idx':19,'type':'EVE'}","{'word':'3월 26일','start_idx':0,'end_idx':5,'type':'DAT'}",eve:date
30,"1989년 1월 22일, 리비우와 키예프에선 우크라이나 독립 기념일을 축하했다.","{'word':'리비우','start_idx':14,'end_idx':16,'type':'ORG'}","{'word':'키예프','start_idx':19,'end_idx':21,'type':'ORG'}",no_relation
31,9월 1일엔 리비우 대학교에서 허가 없는 공개 모임 및 시위가 열려 정부가 학생 5천명을 체포했다.,"{'word':'리비우 대학교','start_idx':7,'end_idx':13,'type':'ORG'}","{'word':'9월 1일','start_idx':0,'end_idx':4,'type':'DAT'}",no_relation
