,sentence,subject_entity,object_entity,label
0,4월 29일에서 30일 사이엔 우크라이나 헬싱키 그룹이 해체되고 이를 우크라이나 공화당이 새로 창설되어 이어받았다.,"{'word':'공화당','start_idx':45,'end_idx':47,'type':'ORG'}","{'word':'헬싱키 그룹','start_idx':23,'end_idx':28,'type':'ORG'}",no_relation
1,"이 대회 이후 FIFA는 구 소련 공화국의 기록을 독립국으로 각각 독립시켰으며, 소련 팀의 기록은 러시아 축구 국가대표팀 기록으로 승계시켰다.","{'word':'러시아 축구 국가대표팀','start_idx':55,'end_idx':66,'type':'ORG'}","{'word':'FIFA','start_idx':8,'end_idx':11,'type':'ORG'}",org:member_of
2,러시아의 작가 니콜라이 고골의 작품 〈타라스 부리바〉의 배경이 되기로도 알려졌다.,"{'word':'니콜라이 고골','start_idx':8,'end_idx':14,'type':'PER'}","{'word':'작가','start_idx':5,'end_idx':6,'type':'POH'}",per:title
3,8월 1일엔 의회에서 압도적인 찬성으로 체르노빌 원자력 발전소 폐쇄안을 통과시켰다.,"{'word':'체르노빌 원자력 발전소 폐쇄안','start_idx':22,'end_idx':37,'type':'EVE'}","{'word':'8월 1일','start_idx':0,'end_idx':4,'type':'DAT'}",eve:date
4,"약간 다른 관점에서, 데이비드 코츠와 프리드 비어는 소비에트의 엘리트들이 내셔널리즘과 자본주의를 자극시킨 원인이 되었는데, 이들은 각 개인으로는 엄청난 혜택을 보았다고 주장했다.","{'word':'데이비드 코츠','start_idx':12,'end_idx':18,'type':'PER'}","{'word':'프리드 비어','start_idx':21,'end_idx':26,'type':'PER'}",no_relation
5,본부는 프랑스 스트라스부르에 있다.,"{'word':'스트라스부르','start_idx':8,'end_idx':13,'type':'ORG'}","{'word':'프랑스','start_idx':4,'end_idx':6,'type':'ORG'}",org:member_of
6,"12월 26일, 소련 최고 소비에트 상원 격인 연방회의는 소련 및 연방회의 자신에 대한 해체 투표를 열었다. (하원 격인 민족회의는 12월 12일 러시아 대표단이 철수하며 정족수를 못채워 사실상 기능을 중지하였다.) 다음 날 27일부턴 옐친이 고르바초프가 사용했던 전 사무실을 이어받아 직무를 수행하기 시작했다.","{'word':'해체 투표','start_idx':49,'end_idx':53,'type':'EVE'}","{'word':'12월 26일','start_idx':0,'end_idx':6,'type':'DAT'}",eve:date
7,이 무기들은 2월 키예프에 도달했지만 시위 지도자들 및 전문가들에 따르면 우크라이나를 혁명에 이르게 하는 데에는 거의 도움이 되지 않았다고 분석하고 있다.,"{'word':'우크라이나','start_idx':41,'end_idx':45,'type':'ORG'}","{'word':'키예프','start_idx':10,'end_idx':12,'type':'ORG'}",no_relation
8,"예를 들어, 스티븐 워커는 소수민족은 연방 차원에서 힘을 아에 잃어버렸고 문화적으로 불안정한 형태로 경재적 근대화를 맞이했으며 일정 수준으로 러시아화 되었으나 소련의 몇 가지 정책들(토착민족 지도자 승인, 현지어 지원)에 힘입어 의식적인 내셔널리즘을 만들었다고 주장한다.","{'word':'스티븐 워커','start_idx':7,'end_idx':12,'type':'PER'}","{'word':'소련','start_idx':89,'end_idx':90,'type':'ORG'}",no_relation
9,"다른 유엔 회원국에게 이의제기 없이 지나간 후, 1991년 12월 31일에 이 편지가 접수되고 승인되었다.","{'word':'유엔 회원국','start_idx':3,'end_idx':8,'type':'ORG'}","{'word':'1991년 12월 31일','start_idx':27,'end_idx':39,'type':'DAT'}",no_relation
10,"유럽 연합 정상회의(European Council) 또는 유럽 이사회는 유럽 연합 회원국의 국가 원수 또는 정부 장관(각료)과 유럽 연합 정상회의 상임의장, 유럽 연합 집행위원회 위원장으로 구성되고 마스트리흐트 조약(Maastricht Treaty)에 규정이 있는 기관이다.","{'word':'유럽 연합 정상회의','start_idx':0,'end_idx':9,'type':'ORG'}","{'word':'유럽 이사회','start_idx':32,'end_idx':37,'type':'ORG'}",org:alternate_names
11,7월 11일엔 이바시코가 소련 공산당 부서기로 선출된 후 우크라이나 의회 의장 자리에 사임하였다.,"{'word':'이바시코','start_idx':8,'end_idx':11,'type':'PER'}","{'word':'부서기','start_idx':21,'end_idx':23,'type':'POH'}",per:title
12,이에 형식상으로는 소련에서 가장 큰 공화국이 탈퇴한 것으로 보였으나 러시아 측에서는 '더 이상 존재하지 않는 나라'에서 탈퇴하는 것은 불가능하므로 이 같은 말은 사실이 아니라고 말했다.,"{'word':'러시아','start_idx':38,'end_idx':40,'type':'ORG'}","{'word':'소련','start_idx':10,'end_idx':11,'type':'ORG'}",org:member_of
13,"같은 날 러시아 SFSR 최고 소비에트는 러시아의 법적 국명을 ""러시아 소비에트 사회주의 연방 공화국""에서 ""러시아 연방""으로 바꾸어 주권국임을 보여주는 법령을 통과시켰다.","{'word':'러시아 SFSR 최고 소비에트','start_idx':5,'end_idx':20,'type':'ORG'}","{'word':'러시아','start_idx':23,'end_idx':25,'type':'ORG'}",org:member_of
14,"시위대는 급진적인 경제, 정치개혁을 요구하며 정부청사에 방화하고 상점은 약탈당했다.","{'word':'시위대','start_idx':0,'end_idx':2,'type':'ORG'}","{'word':'정부청사','start_idx':25,'end_idx':28,'type':'LOC'}",no_relation
15,"2월 26일, 이고르 콜리카예프 시장에 따르면, 러시아군은 러시아의 장갑차에 대한 우크라이나군의 공습 이후, 헤르손에서 철수했다.","{'word':'이고르 콜리카예프','start_idx':8,'end_idx':16,'type':'PER'}","{'word':'시장','start_idx':18,'end_idx':19,'type':'POH'}",per:title
16,"2022년 2월 25일, 이반키우 전투에서 우크라이나의 방어를 돌파한 러시아 지상군이 공항을 다시 점령했다.","{'word':'우크라이나','start_idx':24,'end_idx':28,'type':'ORG'}","{'word':'러시아','start_idx':39,'end_idx':41,'type':'ORG'}",org:hostile
17,2014년 1월 23일부터는 유로마이단의 서부 우크라이나 주 정부청사 및 지역의회에 대한 점령 운동이 시작되었다.,"{'word':'정부청사','start_idx':34,'end_idx':37,'type':'ORG'}","{'word':'서부 우크라이나','start_idx':23,'end_idx':30,'type':'ORG'}",org:member_of
18,거의 남쪽 만으로 강이 빠져나가고 남동부 지방에는 다뉴브 삼각지가 루마니아와 국경을 접하고 있다.,"{'word':'루마니아','start_idx':37,'end_idx':40,'type':'ORG'}","{'word':'다뉴브 삼각지','start_idx':28,'end_idx':34,'type':'LOC'}",no_relation
19,이러한 일련의 분리주의 세력이 커지면서 고르바초프는 소련을 덜 중앙집중적인 국가로 만들고자 했다.,"{'word':'소련','start_idx':29,'end_idx':30,'type':'ORG'}","{'word':'고르바초프','start_idx':22,'end_idx':26,'type':'PER'}",no_relation
20,따라서 유럽 연합 이사회의 정식 명칭도 공용어와 같은 수만큼 있다.,"{'word':'이사회','start_idx':10,'end_idx':12,'type':'ORG'}","{'word':'유럽 연합','start_idx':4,'end_idx':8,'type':'ORG'}",org:member_of
21,소련이 사용했던 국가번호인 +7는 러시아와 카자흐스탄이 승계받아 계속 사용하고 있다.,"{'word':'카자흐스탄','start_idx':24,'end_idx':28,'type':'ORG'}","{'word':'러시아','start_idx':19,'end_idx':21,'type':'ORG'}",no_relation
22,하지만 1945년 10월 24일에 벨로루시 소비에트 사회주의 공화국과 우크라이나 소비에트 사회주의 공화국은 소련과 동시에 유엔에 가입하였다.,"{'word':'벨로루시 소비에트 사회주의 공화국','start_idx':19,'end_idx':36,'type':'ORG'}","{'word':'유엔','start_idx':68,'end_idx':69,'type':'ORG'}",org:member_of
23,"2월 28일, 우크라이나 고문 안톤 헤라쉬첸코는 러시아의 로켓 공격으로 민간인 수십 명이 사망했다고 밝혔다.","{'word':'안톤 헤라쉬첸코','start_idx':17,'end_idx':24,'type':'PER'}","{'word':'고문','start_idx':14,'end_idx':15,'type':'POH'}",per:title
24,"이로 인해 러시아군은 드네프르강을 도하해 북쪽으로 가장 가까운 노바카호우카로 진격하여, 점령했다.","{'word':'러시아군','start_idx':6,'end_idx':9,'type':'ORG'}","{'word':'노바카호우카','start_idx':35,'end_idx':40,'type':'ORG'}",org:hostile
25,"소련법에선 공화국이 대표단을 일방적으로 송환하는 것을 허용하지 않았기 때문에 이 행동에 대한 적법성엔 논란이 있었다. 하지만 이에 대해 러시아 측, 크레믈린 측 어느 쪽도 반대하진 않았다.","{'word':'크레믈린','start_idx':83,'end_idx':86,'type':'ORG'}","{'word':'러시아','start_idx':76,'end_idx':78,'type':'ORG'}",no_relation
26,그러나 미·소 양국은 약자인 이들 비핵보유국에게 조약을 강요한면이 없지 않다.,"{'word':'비핵보유국','start_idx':19,'end_idx':23,'type':'ORG'}","{'word':'미·소','start_idx':4,'end_idx':6,'type':'ORG'}",no_relation
27,3일 후인 8월 21일 쿠데타는 실패하였다.,"{'word':'쿠데타','start_idx':13,'end_idx':15,'type':'EVE'}","{'word':'8월 21일','start_idx':6,'end_idx':11,'type':'DAT'}",no_relation
28,"헤르손 전투(, )는 2022년 2월 24일 러시아의 우크라이나 침공 당시 벌어진 전투이다.","{'word':'헤르손 전투','start_idx':0,'end_idx':5,'type':'EVE'}","{'word':'2022년 2월 24일','start_idx':12,'end_idx':23,'type':'DAT'}",eve:date
29,6월 4일엔 국회의장 선거에 후보 2명이 출마했다.,"{'word':'국회의장 선거','start_idx':7,'end_idx':13,'type':'EVE'}","{'word':'6월 4일','start_idx':0,'end_idx':4,'type':'DAT'}",no_relation
