,sentence,subject_entity,object_entity
0,이듬해 <obj 3월 26일> 열린 <sub 정식 러시아 연방 대통령선거>에서 러시아 연방의 2번째 대통령으로 당선되었다.,EVE,DAT
1,"1922년, <sub 우크라이나>는 <obj 소비에트 사회주의 공화국 연방>의 창립 국가였으며, 러시아 제국이 무너져 결국은 우크라이나어 사용 금지도 철폐되었다.",ORG,ORG
2,또한 <sub 돈바스 전쟁>에서는 <obj 우크라이나> 정부군을 지지했다.,EVE,ORG
3,이후 <sub 우크라이나>는 자국의 <obj 원전>에서 쓰는 우라늄 원료를 모두 러시아로부터 수입하고 사용 후 핵연료도 러시아로 반출해 처리하고 있다.,ORG,ORG
4,<obj 우크라이나>에서 <sub 러시아>에 대한 인식은 지역에 따라 크게 다르다.,ORG,ORG
5,"당시 러시아 연방 헌법상 대통령 임기가 2연임으로 제한되어 있었기에 <sub 푸틴>은 2008년부터 2012년까지 다시 <obj 총리>를 지냈고, 2012년과 2018년에 다시 대통령에 당선되었다.",PER,POH
6,"우크라이나 내에서 러시아인의 비율이 상대적으로 많은 <sub 우크라이나 동부 지역>은 <obj 러시아>와의 친밀한 관계를 환영하고 있으나, 러시아 제국에게 정복을 당한 적이 없는 우크라이나의 중서부 지역은 러시아, 특히 소련과의 관계를 껄끄럽게 여긴다.",ORG,ORG
7,"후속 각서가 채결된 이후, <sub 2차 도네츠크 국제공항 전투>가 일어났고 양 측은 서로 <obj 휴전 협정>을 위반했다고 비판했다.",EVE,POH
8,당시 러시아 연방의 거부이자 <sub 유코스>의 회장 <obj 미하일 호도르콥스키>를 사기와 탈세로 지속적인 형사 소추가 크렘린의 자유주의와 공산주의 반대자들 둘다에게 미하일 보리소비치 호도르콥스키 유코스 회장의 모금을 위한 보복으로서 국제 신문에 의하여 보였다.,ORG,PER
9,<obj 오전 10시>에서 11시 사이에 <sub 기갑 공격>으로 화재가 발생했으며 차량이 불에 탄 흔적을 남겼다.,EVE,DAT
10,"우크라이나 과도정부 당국의 경찰 정보에 의하면, 5월 10일(주민투표 하루 전)에 <sub 우크라이나군>은 <obj 루한스크주> 영역의 50%의 통제권을 장악하고 있다.",ORG,ORG
11,"또한, <sub 도네츠크 인민 공화국>과 <obj 루간스크 인민 공화국>과도 함께 7월 31일, 8월 26일, 9월 1일, 9월 5일에 계속 회의했다.",ORG,ORG
12,1991년에 <obj 나토>는 <sub 유럽>에 대한 핵무기 공급을 80% 줄일 것이라고 발표했다.,ORG,ORG
13,"5월 6일 약 8,000~20,000명의 <sub 시위자들>이 <obj 모스크바 연방시>에 모였으며 80명이 러시아 경찰과 직면하면서 부상을 당하고 450명이 체포되었으며, 다음 날에 다른 120명이 체포되었다.",PER,ORG
14,푸틴은 <obj 레닌그라드> (현 상트페테르부르크)에서 태어나 1975년에 졸업한 <sub 국립 레닌그라드 대학교>에서 법학을 전공했다.,ORG,ORG
15,"<sub 프랏코프> 러시아 <obj 정부주석>은 그것이 러시아 연방 국가두마 총선거에 전단계에서 푸틴 대통령에게 ""행동의 자유""를 주는 것이라고 소감을 남겼다.",PER,POH
16,"한편 폴란드-리투아니아 연방이 <obj 리투아니아 대공국>의 지배를 받고, <sub 폴란드-리투아니아>가 되었다.",ORG,ORG
17,"비공식 소식통에 의하면, <sub 지역 시의회>는 포격 당했고 카메라에 찍힌 스크린샷에는 <obj 전차>가 도시 중심가로 이동하는 모습이 담겨 있다.",ORG,POH
18,<sub 푸틴> <obj 대통령>은 1952년 10월 7일에 소련 레닌그라드에서 태어났다.,PER,POH
19,"대략 3시간의 전투 후, <sub 러시아군>은 <obj 우크라이나군>에 의해 격퇴되었고, 일부 러시아 전차들은 도시를 우회했지만, 전투는 계속되었다.",ORG,ORG
20,<sub 크림 타타르인 협의회>는 <obj 주민 투표>의 보이콧을 요구하였다.,ORG,ORG
21,<sub 안나 스테파노브나 폴리트콥스카야>의 사망은 <obj 푸틴> 대통령이 국가의 새로운 독립적 대중 매체에 계획을 실패한 고발과 함께 서방의 대중 매체에서 부르짖음을 일으켰다.,PER,PER
22,"휴먼 라이츠 워치는 우크라이나 정부 세력인 <sub 친우크라이나 민병대>와 반정부군이 민간인 지역에 <obj 무유도 BM-21>을 이용한 로켓 공격을 했다고 보고하면서, ""인구 밀집 지역의 무차별 로켓 사용은 국제 인도주의 법과 전쟁법을 위반한 전쟁 범죄이다.""라고 말했다.",ORG,POH
23,"방위범위는 영국·프랑스 해협과 잉글랜드 연안을 제외한 <sub 미국> 연합수역에서 <obj 유럽·아프리카> 연안수역까지, 즉 위도상으로는 북극에서 적도까지였다.",ORG,ORG
24,그 중에서도 <sub 우크라이나>의 <obj 핵무기> 보유는 러시아와 우크라이나의 초창기 관계에서 문제를 일으켰다.,ORG,POH
25,"8월 내내 난민이 급격하게 증가한 이후, 9월 초 <obj 우크라이나>의 <sub 돈바스 지역> 난민은 2배 오른 26만명이 되었다.",ORG,ORG
26,인위적인 기근이라는 문서상 근거가 없는 상황에서 이 대기근은 <sub 소련>과 <obj 카자흐스탄> 전 지역으로 퍼져나갔다.,ORG,ORG
27,<obj 러시아>에서 <sub 우크라이나>에 대한 인식은 지역마다 크게 다르지 않다.,ORG,ORG
