id,sentence,subject_entity,object_entity,label
203,"NATO는 1990년대에 들어서 딜레마에 봉착하기도 했는데, 1991년에는 나토 회원국에 대해 즉각적으로 어떠한 군사적 위협도 없을 정도로 상황이 개선되어, 미래의 나토 역할에 대한 의문이 제기되었다.","{'word':'NATO','start_idx':0,'end_idx':3,'type':'ORG'}","{'word':'나토','start_idx':92,'end_idx':93,'type':'ORG'}",org:alternate_names
33,푸틴은 1990년 5월에 레닌그라드 시장을 역임하고 있던 아나톨리 솝차크로부터 국제 관계 담당 고문으로 임명되었다.,"{'word':'아나톨리 솝차크','start_idx':32,'end_idx':39,'type':'PER'}","{'word':'시장','start_idx':20,'end_idx':21,'type':'POH'}",per:title
400,5월 7일엔 라트비아 각료회의의장(총리)에 라트비아 인민 전선의 지도자인 이바르스 고드마니스가 당선되며 소련 정부에게 독립 협상을 제의했다.,"{'word':'이바르스 고드마니스','start_idx':41,'end_idx':50,'type':'PER'}","{'word':'각료회의의장','start_idx':12,'end_idx':17,'type':'POH'}",per:title
828,"8월 20일 초저녁, 정부군은 하루종일 도시 내에서 시가전을 벌인 이후 루한스크 도시의 상당부분을 탈환했다고 말했다.","{'word':'정부군','start_idx':12,'end_idx':14,'type':'ORG'}","{'word':'루한스크 도시','start_idx':40,'end_idx':46,'type':'ORG'}",org:property
370,"1989년 10월 25일, 최고 소비에트는 그동안 비민주적인 처사라는 비판을 들었던, 총선 및 지방선거의 공산당 전용 특별 의석 제도를 없애기로 한다는 결의안을 냈다.","{'word':'공산당','start_idx':59,'end_idx':61,'type':'ORG'}","{'word':'1989년 10월 25일','start_idx':0,'end_idx':12,'type':'DAT'}",no_relation
1449,"그러나 빅토르 야누코비치가 소속된 우크라이나 지역당 일부, 일부 무소속의원 그리고 동부 주민 조차 야누코비치의 잠적을 비판했다.","{'word':'우크라이나','start_idx':19,'end_idx':23,'type':'ORG'}","{'word':'빅토르 야누코비치','start_idx':4,'end_idx':12,'type':'PER'}",org:top_members/employees
1535,"2013년 11월 29일, 폴란드 포드카르파츠키에주에 위치한 우크라이나 국경 도시 메디카(, )에서 폴란드인들과 우크라이나인들이 국경선 옆에서 손을 잡고 시위를 벌였다.","{'word':'메디카','start_idx':46,'end_idx':48,'type':'ORG'}","{'word':'우크라이나','start_idx':34,'end_idx':38,'type':'ORG'}",org:member_of
364,이 지역에서는 2014년 4월 이후부터 돈바스 전쟁을 겪고 있다.,"{'word':'돈바스 전쟁','start_idx':22,'end_idx':27,'type':'EVE'}","{'word':'2014년 4월','start_idx':8,'end_idx':15,'type':'DAT'}",eve:date
1690,오전 8시 34분(UTC+2)에 우크라이나군은 체르니히우에서 러시아군의 공격을 격퇴하고 러시아군의 장비와 문서를 탈취했다.,"{'word':'우크라이나군','start_idx':18,'end_idx':23,'type':'ORG'}","{'word':'러시아군','start_idx':34,'end_idx':37,'type':'ORG'}",org:hostile
73,이전에 예상했던 추측치보다 훨씬 큰 이 수는 유엔 난민 고등판무관 사무소에 넘겨졌다.,"{'word':'난민 고등판무관 사무소','start_idx':28,'end_idx':39,'type':'ORG'}","{'word':'유엔','start_idx':25,'end_idx':26,'type':'ORG'}",org:member_of
